,0
0,A
1,A
2,H
3,H
4,A
5,A
6,H
7,H
8,H
9,H
10,A
11,A
12,A
13,A
14,H
15,A
16,H
17,H
18,H
19,H
20,H
21,H
22,H
23,A
24,H
25,A
26,H
27,A
28,H
29,A
30,A
31,H
32,A
33,H
34,H
35,A
36,A
37,H
38,A
39,A
40,A
41,H
42,A
43,A
44,H
45,A
46,A
47,H
48,A
49,A
50,A
51,A
52,H
53,H
54,H
55,H
56,H
57,A
58,H
59,H
60,H
61,H
62,A
63,A
64,H
65,H
66,H
67,H
68,A
69,H
70,H
71,A
72,A
73,H
74,A
75,A
76,H
77,A
78,H
79,A
80,A
81,A
82,A
83,H
84,A
85,A
86,A
87,H
88,H
89,H
90,H
91,A
92,H
93,A
94,H
95,A
96,A
97,H
98,A
99,H
100,H
101,H
102,H
103,H
104,A
105,A
106,A
107,H
108,A
109,H
110,H
111,H
112,H
113,A
114,H
115,H
116,A
117,H
118,H
119,A
120,A
121,H
122,H
123,A
124,H
125,H
126,H
127,H
128,H
129,H
130,A
131,A
132,A
133,H
134,H
135,A
136,H
137,A
138,H
139,H
140,A
141,H
142,A
143,H
144,H
145,H
146,A
147,H
148,H
149,A
150,A
151,H
152,H
153,A
154,H
155,A
156,H
157,H
158,A
159,H
160,H
161,A
162,H
163,H
164,H
165,H
166,A
167,A
168,H
169,A
170,A
171,A
172,H
173,H
174,A
175,A
176,H
177,A
178,A
179,A
180,H
181,H
182,H
183,A
184,H
185,H
186,H
187,H
188,H
189,A
190,A
191,A
192,H
193,H
194,H
195,A
196,H
197,H
198,H
199,A
200,A
201,H
202,H
203,H
204,H
205,H
206,H
207,A
208,A
209,A
210,H
211,H
212,A
213,A
214,A
215,H
216,A
217,H
218,H
219,A
220,A
221,H
222,H
223,H
224,H
225,H
226,H
227,A
228,H
229,A
230,H
231,H
232,H
233,H
234,H
235,A
236,H
237,H
238,A
239,H
240,A
241,A
242,A
243,H
244,H
245,A
246,H
247,H
248,H
249,H
250,H
251,H
252,H
253,A
254,A
255,A
256,H
257,H
258,H
259,H
260,A
261,H
262,H
263,H
264,H
